fio,faculty,title,degree
Новиков Д.С.,ФИВТ,доцент,д.н.
Лебедева М.Ю.,ИТМО,ассистент,
Лебедева А.А.,ФУПМ,ассистент,д.н.
Алексеев Г.Н.,ФИВТ,,д.н.
Соколов Б.В.,ФМиЕН,ассистент,д.н.
Морозов Л.О.,ФИТ,,к.н.
Попов Л.О.,ФИВТ,ассистент,к.н.
Лебедев А.А.,ФФ,,к.н.
Иванов Л.О.,ФУПМ,ассистент,к.н.
Алексеев Л.О.,ФМиМ,доцент,к.н.
Попов Д.С.,ФМиМ,ассистент,
Иванов М.Ю.,ФМиЕН,ассистент,д.н.
Попов З.Т.,ФУПМ,доцент,к.н.
Иванов Д.С.,ФРТ,ассистент,
Алексеев В.И.,ФУПМ,доцент,к.н.
Смирнов Г.Н.,ФИВТ,профессор,к.н.
Алексеев Д.С.,ИТМО,ассистент,
Лебедева М.Ю.,ИТМО,,д.н.
Лебедева Б.В.,ФМиЕН,доцент,к.н.
Лебедев Г.Н.,ФМиЕН,доцент,
Лебедев Б.В.,ФПМИ,доцент,
Семенов К.М.,ФРТ,профессор,
Соколов М.Ю.,ИТМО,доцент,к.н.
Петров Л.О.,ФМиЕН,,к.н.
Петров И.К.,ФМиМ,профессор,
Алексеев М.Ю.,ФИТ,профессор,к.н.
Козлов М.Ю.,ФЭТ,профессор,д.н.
Козлов Е.П.,ФУПМ,профессор,к.н.
Семенов В.И.,ФИВТ,доцент,
Иванов Е.П.,ФИВТ,доцент,к.н.
Козлов А.А.,ФИВТ,доцент,
Семенов М.Ю.,ФЭТ,ассистент,к.н.
Соколов В.И.,ФРТ,доцент,
Сидоров К.М.,ФМиМ,,к.н.
Егоров Е.П.,ФМиЕН,ассистент,
Лебедева З.Т.,ИТМО,доцент,к.н.
Соколов Ж.Р.,ФУПМ,ассистент,д.н.
Морозов А.А.,ФПМИ,ассистент,к.н.
Соколов З.Т.,ИТМО,ассистент,
Морозов Е.П.,ФИВТ,доцент,д.н.
Попов К.М.,ФФ,доцент,к.н.
Новиков З.Т.,ИТМО,доцент,
Волков Г.Н.,ФЭТ,доцент,
Волков З.Т.,ФЭТ,доцент,д.н.
Егоров К.М.,ФИТ,ассистент,д.н.
Новиков В.И.,ФРТ,,д.н.
Семенов Ж.Р.,ФИТ,ассистент,д.н.
Петров Е.П.,ФМиМ,профессор,к.н.
Попов В.И.,ФУПМ,,
Попов З.Т.,ФПМИ,профессор,к.н.
Лебедев А.А.,ФМиЕН,доцент,к.н.
Алексеев А.А.,ФЭТ,,д.н.
Егоров Е.П.,ИТМО,,д.н.
Егоров Г.Н.,ИТМО,ассистент,
Кузнецов М.Ю.,ФУПМ,,д.н.
Иванов З.Т.,ФМиМ,ассистент,
Лебедева Ж.Р.,ФУПМ,,д.н.
Лебедева Ж.Р.,ФИВТ,доцент,д.н.
Семенов З.Т.,ИТМО,профессор,д.н.
Егоров И.К.,ФИВТ,,к.н.
Морозов Е.П.,ФМиМ,доцент,д.н.
Лебедев Е.П.,ФМиМ,ассистент,
Сидоров Д.С.,ФМиМ,ассистент,
Лебедев З.Т.,ФМиЕН,доцент,д.н.
Смирнов Е.П.,ФМиЕН,доцент,д.н.
Соколов И.К.,ФРТ,профессор,к.н.
Смирнов Г.Н.,ФРТ,профессор,к.н.
Морозов Д.С.,ФФ,доцент,
Алексеев Ж.Р.,ФИВТ,профессор,к.н.
Иванов Г.Н.,ФУПМ,ассистент,к.н.
Лебедева Ж.Р.,ФМиМ,профессор,к.н.
Козлов В.И.,ФИВТ,доцент,д.н.
Попов Д.С.,ФУПМ,,
Волков Б.В.,ФИТ,ассистент,к.н.
Иванов И.К.,ФПМИ,,к.н.
Лебедева Л.О.,ИТМО,ассистент,к.н.
Волков К.М.,ФЭТ,,д.н.
Морозов К.М.,ИТМО,,
Иванов И.К.,ИТМО,ассистент,к.н.
Иванов Ж.Р.,ФИВТ,ассистент,
Попов М.Ю.,ФИТ,ассистент,к.н.
Лебедева Б.В.,ФИТ,профессор,д.н.
Новиков А.А.,ФРТ,,к.н.
Лебедева Д.С.,ФИТ,профессор,к.н.
Петров Л.О.,ФПМИ,ассистент,
Егоров Б.В.,ФИТ,профессор,
Новиков Л.О.,ФМиЕН,,к.н.
Иванов К.М.,ФФ,ассистент,к.н.
Иванов Г.Н.,ИТМО,ассистент,
Попов Б.В.,ФИВТ,,к.н.
Смирнов И.К.,ФИВТ,ассистент,к.н.
Петров Л.О.,ФИТ,профессор,д.н.
Петров Г.Н.,ФРТ,профессор,к.н.
Иванов З.Т.,ФИТ,,к.н.
Сидоров Д.С.,ФПМИ,доцент,
Кузнецов И.К.,ФИВТ,профессор,к.н.
Смирнов М.Ю.,ФУПМ,ассистент,
Морозов Д.С.,ФПМИ,ассистент,д.н.
Попов Е.П.,ФИВТ,ассистент,к.н.
Петров Д.С.,ФРТ,,д.н.
Алексеев Б.В.,ФИТ,профессор,к.н.
Иванов Ж.Р.,ИТМО,,к.н.
Козлов В.И.,ИТМО,,
Волков Л.О.,ФМиЕН,ассистент,к.н.
Соколов К.М.,ФПМИ,профессор,д.н.
Егоров Г.Н.,ФИВТ,ассистент,к.н.
Сидоров И.К.,ФФ,ассистент,
Семенов В.И.,ФМиМ,ассистент,
Волков Ж.Р.,ФИТ,,д.н.
Соколов Ж.Р.,ФПМИ,доцент,д.н.
Новиков Д.С.,ФУПМ,профессор,д.н.
Новиков З.Т.,ФФ,доцент,д.н.
Новиков А.А.,ФИТ,профессор,
Лебедева М.Ю.,ФИТ,профессор,к.н.
Соколов К.М.,ФУПМ,ассистент,к.н.
Волков Ж.Р.,ФИТ,ассистент,д.н.
Соколов В.И.,ФЭТ,профессор,
Егоров Л.О.,ФРТ,,
Морозов М.Ю.,ИТМО,,к.н.
Сидоров К.М.,ФИВТ,профессор,д.н.
Лебедева Д.С.,ФФ,,
Кузнецов Г.Н.,ФИТ,доцент,
Попов М.Ю.,ФУПМ,доцент,
Морозов Л.О.,ФРТ,,к.н.
Лебедева К.М.,ФИТ,ассистент,
Алексеев Л.О.,ИТМО,доцент,д.н.
Новиков К.М.,ФМиМ,ассистент,
Сидоров З.Т.,ФРТ,профессор,
Лебедев Д.С.,ФИТ,,д.н.
Кузнецов З.Т.,ФМиЕН,доцент,д.н.
Сидоров Б.В.,ФЭТ,,д.н.
Егоров Б.В.,ФИТ,ассистент,
Смирнов Б.В.,ФЭТ,профессор,
Волков Д.С.,ФИТ,доцент,
Попов А.А.,ФМиЕН,,
Лебедев Б.В.,ФФ,ассистент,д.н.
Волков Б.В.,ФРТ,профессор,д.н.
Кузнецов М.Ю.,ФМиЕН,доцент,д.н.
Алексеев Ж.Р.,ФМиЕН,доцент,д.н.
Алексеев Е.П.,ФИТ,доцент,к.н.
Волков К.М.,ФИВТ,,к.н.
Лебедев Г.Н.,ФУПМ,ассистент,к.н.
Смирнов Д.С.,ФИТ,доцент,
Лебедева К.М.,ФИВТ,доцент,к.н.
Сидоров Е.П.,ФПМИ,профессор,к.н.
Лебедев И.К.,ФМиМ,ассистент,к.н.
Козлов Д.С.,ФМиМ,ассистент,
Лебедева Г.Н.,ФМиЕН,профессор,к.н.
Сидоров К.М.,ФПМИ,,к.н.
Соколов К.М.,ФФ,доцент,д.н.
Лебедев Г.Н.,ФМиЕН,ассистент,
Петров Б.В.,ИТМО,профессор,
Морозов М.Ю.,ФИТ,ассистент,
Соколов Л.О.,ИТМО,ассистент,
Кузнецов А.А.,ФИВТ,,к.н.
Иванов А.А.,ФМиЕН,ассистент,д.н.
Алексеев Е.П.,ФИТ,профессор,д.н.
Волков Е.П.,ФРТ,,д.н.
Иванов Б.В.,ФМиЕН,,к.н.
Лебедева Б.В.,ФРТ,профессор,
Лебедев Е.П.,ФМиМ,ассистент,к.н.
Смирнов М.Ю.,ФМиМ,профессор,к.н.
Семенов Е.П.,ФИТ,профессор,к.н.
Смирнов В.И.,ФРТ,ассистент,к.н.
Попов В.И.,ИТМО,доцент,к.н.
Сидоров М.Ю.,ФЭТ,ассистент,к.н.
Сидоров И.К.,ФМиМ,,
Егоров Г.Н.,ФЭТ,доцент,
Попов Л.О.,ФПМИ,профессор,
Волков Г.Н.,ИТМО,ассистент,к.н.
Морозов В.И.,ФРТ,доцент,к.н.
Новиков Б.В.,ФПМИ,доцент,д.н.
Семенов Д.С.,ФФ,,
Смирнов Г.Н.,ФУПМ,ассистент,
Иванов З.Т.,ФРТ,доцент,
Кузнецов Ж.Р.,ИТМО,доцент,д.н.
Соколов А.А.,ФФ,доцент,к.н.
Семенов М.Ю.,ФМиЕН,ассистент,
Соколов В.И.,ФЭТ,,д.н.
Иванов Г.Н.,ФМиМ,доцент,
Смирнов А.А.,ФМиМ,профессор,к.н.
Егоров З.Т.,ФМиЕН,ассистент,д.н.
Лебедева А.А.,ФИВТ,доцент,
Егоров Л.О.,ФМиЕН,,д.н.
Кузнецов М.Ю.,ФИВТ,доцент,
Алексеев И.К.,ФПМИ,ассистент,к.н.
Морозов З.Т.,ФИВТ,ассистент,д.н.
Новиков Е.П.,ФИВТ,доцент,к.н.
Лебедев Л.О.,ФПМИ,доцент,
Егоров М.Ю.,ФУПМ,,д.н.
Козлов А.А.,ФФ,,
Петров Л.О.,ФПМИ,профессор,к.н.
Волков И.К.,ФФ,доцент,к.н.
Волков Л.О.,ФФ,,
Лебедев В.И.,ФЭТ,,к.н.
Морозов Б.В.,ФЭТ,доцент,
Егоров З.Т.,ФУПМ,ассистент,д.н.
Попов А.А.,ФРТ,профессор,к.н.
Семенов К.М.,ФМиМ,ассистент,
Соколов М.Ю.,ФУПМ,доцент,д.н.
Смирнов Б.В.,ФИВТ,,к.н.
Лебедев Ж.Р.,ФУПМ,,
Морозов Ж.Р.,ФМиМ,,к.н.
Кузнецов Л.О.,ФУПМ,доцент,
Алексеев М.Ю.,ФУПМ,профессор,д.н.
Смирнов Г.Н.,ФЭТ,,д.н.
Волков Г.Н.,ФПМИ,профессор,к.н.
Иванов Г.Н.,ФМиМ,доцент,д.н.
Лебедев М.Ю.,ФМиМ,,
Иванов В.И.,ФПМИ,ассистент,к.н.
Новиков К.М.,ФПМИ,,к.н.
Соколов И.К.,ФИВТ,ассистент,д.н.
Сидоров Д.С.,ФМиМ,профессор,к.н.
Морозов И.К.,ФФ,,д.н.
Петров Е.П.,ФФ,доцент,
