fio,faculty,title,degree
Алексеев Л.О.,ИТМО,ассистент,
Петров И.К.,ФМиЕН,,
Кузнецов Б.В.,ФРТ,доцент,к.н.
Смирнов К.М.,ФМиЕН,,
Соколов К.М.,ФЭТ,,
Иванов В.И.,ФЭТ,профессор,
Петров И.К.,ФУПМ,профессор,
Новиков М.Ю.,ИТМО,,к.н.
Иванов В.И.,ФИВТ,профессор,
Соколов А.А.,ФУПМ,ассистент,к.н.
Морозов З.Т.,ФМиМ,ассистент,
Лебедев К.М.,ФИВТ,доцент,д.н.
Козлов Е.П.,ФИВТ,доцент,
Соколов М.Ю.,ФУПМ,доцент,
Кузнецов Г.Н.,ФИВТ,доцент,к.н.
Попов З.Т.,ФРТ,,
Лебедева Г.Н.,ФФ,ассистент,д.н.
Алексеев А.А.,ФМиЕН,профессор,
Попов Г.Н.,ИТМО,доцент,д.н.
Сидоров Г.Н.,ФПМИ,доцент,
Новиков Б.В.,ФФ,ассистент,д.н.
Егоров И.К.,ФМиМ,ассистент,д.н.
Сидоров В.И.,ФМиЕН,профессор,д.н.
Козлов Л.О.,ФИВТ,профессор,к.н.
Соколов Б.В.,ФИТ,,к.н.
Иванов З.Т.,ИТМО,доцент,к.н.
Алексеев А.А.,ФЭТ,доцент,к.н.
Семенов З.Т.,ФМиЕН,профессор,к.н.
Смирнов Б.В.,ИТМО,ассистент,д.н.
Новиков Ж.Р.,ФИВТ,доцент,к.н.
Сидоров Е.П.,ФЭТ,профессор,д.н.
Кузнецов Л.О.,ФРТ,,
Волков А.А.,ФИТ,,д.н.
Лебедева К.М.,ФУПМ,профессор,к.н.
Егоров И.К.,ФМиЕН,доцент,к.н.
Семенов Л.О.,ФИТ,ассистент,к.н.
Лебедев З.Т.,ИТМО,доцент,к.н.
Сидоров Ж.Р.,ФПМИ,профессор,
Морозов Ж.Р.,ФИТ,профессор,к.н.
Кузнецов Д.С.,ФРТ,,д.н.
Соколов А.А.,ФМиЕН,,к.н.
Егоров Б.В.,ФРТ,ассистент,д.н.
Морозов Е.П.,ФЭТ,,
Волков Г.Н.,ФРТ,,д.н.
Семенов Г.Н.,ИТМО,профессор,к.н.
Иванов К.М.,ИТМО,доцент,
Морозов Ж.Р.,ФМиЕН,доцент,д.н.
Сидоров А.А.,ФИВТ,доцент,д.н.
Волков М.Ю.,ФМиЕН,ассистент,
Новиков Ж.Р.,ФУПМ,ассистент,к.н.
Попов М.Ю.,ФИВТ,,к.н.
Волков И.К.,ФПМИ,,д.н.
Сидоров Б.В.,ФФ,профессор,д.н.
Соколов Е.П.,ФРТ,,к.н.
Новиков З.Т.,ФМиМ,,к.н.
Семенов Л.О.,ФУПМ,ассистент,
Иванов З.Т.,ФИВТ,ассистент,
Соколов И.К.,ФЭТ,доцент,д.н.
Сидоров В.И.,ФЭТ,ассистент,к.н.
Петров А.А.,ФФ,доцент,к.н.
Петров Е.П.,ФУПМ,доцент,
Кузнецов Л.О.,ИТМО,профессор,д.н.
Сидоров Г.Н.,ФУПМ,доцент,
Волков М.Ю.,ФПМИ,,к.н.
Алексеев Д.С.,ФМиМ,профессор,
Соколов М.Ю.,ФМиЕН,доцент,
Смирнов Д.С.,ФЭТ,доцент,
Козлов А.А.,ФИВТ,ассистент,к.н.
Лебедева В.И.,ФРТ,,д.н.
Лебедева И.К.,ФИВТ,профессор,
Сидоров Д.С.,ФИТ,,
Смирнов Г.Н.,ФЭТ,,к.н.
Лебедева З.Т.,ФЭТ,доцент,к.н.
Петров М.Ю.,ФФ,доцент,к.н.
Козлов Ж.Р.,ФУПМ,профессор,д.н.
Сидоров В.И.,ИТМО,доцент,
Иванов Ж.Р.,ФФ,,к.н.
Лебедев К.М.,ФМиМ,,
Лебедев В.И.,ФМиМ,доцент,к.н.
Попов В.И.,ФФ,профессор,
Лебедев Д.С.,ФРТ,доцент,
Лебедев Л.О.,ФУПМ,профессор,д.н.
Сидоров Г.Н.,ИТМО,,д.н.
Волков Ж.Р.,ФМиЕН,профессор,к.н.
Новиков Ж.Р.,ФИТ,,
Смирнов Л.О.,ФМиЕН,профессор,д.н.
Морозов Б.В.,ФФ,доцент,
Новиков Ж.Р.,ИТМО,ассистент,д.н.
Иванов Л.О.,ФПМИ,,к.н.
Смирнов Б.В.,ФПМИ,ассистент,д.н.
Петров И.К.,ФМиМ,,д.н.
Лебедева Л.О.,ФПМИ,профессор,
Волков А.А.,ФИТ,ассистент,к.н.
Егоров Е.П.,ФЭТ,ассистент,д.н.
Козлов З.Т.,ФФ,профессор,д.н.
Волков Е.П.,ФФ,,
Попов Д.С.,ИТМО,профессор,к.н.
Лебедева В.И.,ФЭТ,доцент,д.н.
Попов Г.Н.,ФИТ,ассистент,к.н.
Новиков А.А.,ФЭТ,профессор,
Лебедев А.А.,ФФ,профессор,к.н.
Волков Д.С.,ФУПМ,,
Смирнов Д.С.,ИТМО,,д.н.
Сидоров Е.П.,ФФ,профессор,к.н.
Волков Д.С.,ФУПМ,профессор,д.н.
Иванов Е.П.,ФРТ,доцент,к.н.
Соколов А.А.,ИТМО,профессор,д.н.
Лебедева З.Т.,ФМиМ,ассистент,к.н.
Соколов А.А.,ФМиМ,профессор,
Сидоров В.И.,ФИВТ,,к.н.
Кузнецов Л.О.,ФИТ,,к.н.
Сидоров Ж.Р.,ФПМИ,доцент,д.н.
Сидоров Д.С.,ФЭТ,ассистент,
Иванов Г.Н.,ИТМО,доцент,к.н.
Кузнецов А.А.,ФЭТ,доцент,к.н.
Кузнецов Ж.Р.,ФИВТ,,к.н.
Лебедев Б.В.,ФМиМ,профессор,д.н.
Семенов З.Т.,ФИТ,профессор,
Лебедева К.М.,ФПМИ,профессор,
Морозов Е.П.,ФМиЕН,ассистент,
Новиков И.К.,ФМиЕН,доцент,д.н.
Кузнецов Г.Н.,ФЭТ,профессор,
Петров Д.С.,ИТМО,доцент,д.н.
Семенов З.Т.,ФИВТ,ассистент,д.н.
Лебедев В.И.,ФЭТ,профессор,д.н.
Семенов З.Т.,ФМиЕН,,
Семенов А.А.,ФЭТ,,д.н.
Волков Л.О.,ФРТ,,д.н.
Лебедев А.А.,ФФ,,к.н.
Лебедев Ж.Р.,ФФ,,
Смирнов К.М.,ФМиМ,,к.н.
Петров М.Ю.,ФЭТ,доцент,д.н.
Козлов Ж.Р.,ФИТ,профессор,
Семенов З.Т.,ФИВТ,,
Лебедева В.И.,ФФ,профессор,к.н.
Козлов Г.Н.,ФМиМ,профессор,д.н.
Морозов Б.В.,ФМиЕН,профессор,д.н.
Петров З.Т.,ФЭТ,доцент,
Кузнецов Б.В.,ФМиЕН,,
Кузнецов З.Т.,ФУПМ,,
Лебедев А.А.,ФУПМ,,
Сидоров Д.С.,ФРТ,профессор,
Иванов К.М.,ФФ,,д.н.
Волков Б.В.,ФИТ,ассистент,д.н.
Егоров М.Ю.,ФМиЕН,ассистент,к.н.
Алексеев К.М.,ИТМО,ассистент,д.н.
Лебедева Л.О.,ФИВТ,ассистент,
Сидоров Ж.Р.,ФУПМ,доцент,д.н.
Новиков А.А.,ФИТ,профессор,
Козлов Г.Н.,ФФ,ассистент,к.н.
Новиков Б.В.,ФРТ,профессор,
Новиков Ж.Р.,ФИВТ,ассистент,д.н.
Соколов М.Ю.,ФИТ,ассистент,д.н.
Новиков Б.В.,ФУПМ,профессор,д.н.
Смирнов А.А.,ФМиМ,доцент,к.н.
Соколов Л.О.,ФФ,доцент,д.н.
Петров И.К.,ФЭТ,доцент,д.н.
Семенов Б.В.,ФМиМ,профессор,к.н.
Иванов Д.С.,ФИТ,доцент,д.н.
Алексеев З.Т.,ФИТ,,к.н.
Лебедева Б.В.,ФРТ,профессор,
Лебедев К.М.,ФУПМ,профессор,к.н.
Иванов Г.Н.,ФУПМ,,
Соколов Ж.Р.,ФИВТ,доцент,
Сидоров Е.П.,ФПМИ,,д.н.
Семенов К.М.,ФПМИ,профессор,
Лебедева Д.С.,ФРТ,доцент,к.н.
Сидоров Е.П.,ФМиЕН,ассистент,
Кузнецов Г.Н.,ИТМО,доцент,д.н.
Лебедева Ж.Р.,ФМиМ,профессор,
Смирнов Д.С.,ФИТ,ассистент,д.н.
Егоров В.И.,ФИТ,,к.н.
Алексеев В.И.,ФУПМ,профессор,д.н.
Соколов В.И.,ФЭТ,,к.н.
Лебедев Е.П.,ФУПМ,профессор,к.н.
Семенов Б.В.,ФМиМ,профессор,к.н.
Сидоров К.М.,ФУПМ,доцент,д.н.
Волков Б.В.,ФМиЕН,доцент,д.н.
