fio,faculty,title,degree
Лебедев А.А.,ФПМИ,профессор,к.н.
Кузнецов З.Т.,ФИТ,,д.н.
Морозов В.И.,ФРТ,,д.н.
Егоров З.Т.,ФУПМ,,д.н.
Сидоров З.Т.,ФПМИ,,д.н.
Петров А.А.,ФЭТ,профессор,д.н.
Соколов Б.В.,ФЭТ,ассистент,д.н.
Лебедева К.М.,ФИТ,,
Иванов Д.С.,ФИТ,профессор,к.н.
Морозов М.Ю.,ФПМИ,,
Смирнов Д.С.,ФРТ,ассистент,д.н.
Петров Ж.Р.,ФМиМ,профессор,к.н.
Лебедева К.М.,ФМиМ,,д.н.
Сидоров А.А.,ФМиМ,,к.н.
Попов Л.О.,ФИТ,доцент,д.н.
Петров З.Т.,ФМиМ,доцент,д.н.
Алексеев К.М.,ФИТ,ассистент,д.н.
Морозов Д.С.,ФУПМ,ассистент,д.н.
Лебедева Ж.Р.,ИТМО,профессор,к.н.
Козлов И.К.,ФУПМ,доцент,
Кузнецов В.И.,ФМиЕН,ассистент,к.н.
Попов Г.Н.,ФЭТ,доцент,к.н.
Петров К.М.,ИТМО,профессор,д.н.
Кузнецов З.Т.,ФИТ,ассистент,к.н.
Кузнецов Г.Н.,ФЭТ,профессор,д.н.
Козлов Г.Н.,ФМиМ,,к.н.
Смирнов К.М.,ФЭТ,ассистент,
Алексеев Г.Н.,ФМиЕН,,д.н.
Козлов В.И.,ИТМО,,
Лебедева В.И.,ФФ,профессор,к.н.
Соколов Ж.Р.,ФРТ,профессор,к.н.
Смирнов Б.В.,ФМиЕН,,к.н.
Семенов З.Т.,ФРТ,доцент,д.н.
Козлов Д.С.,ФИТ,,
Козлов Б.В.,ФМиЕН,доцент,к.н.
Кузнецов Г.Н.,ФПМИ,ассистент,
Сидоров Б.В.,ФЭТ,ассистент,д.н.
Морозов В.И.,ФФ,ассистент,
Кузнецов И.К.,ФУПМ,доцент,к.н.
Волков А.А.,ФМиМ,профессор,к.н.
Соколов М.Ю.,ФУПМ,профессор,
Алексеев А.А.,ФРТ,,д.н.
Смирнов К.М.,ФУПМ,ассистент,
Петров Л.О.,ФИВТ,,
Петров Е.П.,ФФ,доцент,
Кузнецов З.Т.,ФРТ,ассистент,д.н.
Новиков К.М.,ФМиЕН,,д.н.
Волков М.Ю.,ФИТ,ассистент,к.н.
Егоров В.И.,ФМиЕН,доцент,
Морозов И.К.,ФЭТ,,д.н.
Новиков Г.Н.,ФИТ,ассистент,к.н.
Соколов Г.Н.,ФРТ,доцент,к.н.
Кузнецов Д.С.,ФЭТ,,к.н.
Сидоров Г.Н.,ФРТ,ассистент,к.н.
Соколов Л.О.,ФУПМ,доцент,к.н.
Иванов М.Ю.,ФУПМ,доцент,к.н.
Смирнов Е.П.,ФМиМ,доцент,к.н.
Иванов К.М.,ФРТ,,д.н.
Петров М.Ю.,ФЭТ,доцент,к.н.
Иванов Б.В.,ИТМО,доцент,
Смирнов К.М.,ФРТ,доцент,к.н.
Кузнецов Л.О.,ФРТ,ассистент,д.н.
Волков В.И.,ФФ,,
Кузнецов Б.В.,ФИВТ,доцент,к.н.
Новиков Ж.Р.,ФЭТ,доцент,
Петров Е.П.,ФИТ,доцент,к.н.
Морозов Б.В.,ФРТ,профессор,
Новиков Г.Н.,ФУПМ,,
Козлов М.Ю.,ФУПМ,доцент,д.н.
Егоров И.К.,ФМиМ,профессор,к.н.
Смирнов К.М.,ФМиМ,ассистент,д.н.
Новиков Ж.Р.,ФИТ,ассистент,д.н.
Лебедев Г.Н.,ФМиМ,доцент,к.н.
Смирнов Л.О.,ФМиЕН,ассистент,д.н.
Кузнецов А.А.,ФРТ,доцент,д.н.
Кузнецов Г.Н.,ИТМО,доцент,
Семенов Ж.Р.,ФРТ,доцент,
Кузнецов И.К.,ФИВТ,профессор,
Новиков М.Ю.,ФИТ,профессор,
Петров Б.В.,ФФ,ассистент,д.н.
Алексеев Г.Н.,ФЭТ,доцент,к.н.
Кузнецов М.Ю.,ФРТ,доцент,к.н.
Лебедева Д.С.,ФИТ,ассистент,д.н.
Новиков Б.В.,ФРТ,доцент,к.н.
Соколов А.А.,ФУПМ,доцент,
Кузнецов Г.Н.,ФРТ,доцент,д.н.
Егоров Е.П.,ФЭТ,ассистент,д.н.
Волков М.Ю.,ФРТ,профессор,
Егоров И.К.,ФФ,доцент,
Козлов З.Т.,ИТМО,профессор,
Егоров Б.В.,ФФ,профессор,
Морозов В.И.,ФИВТ,доцент,к.н.
Смирнов В.И.,ФМиЕН,,
Новиков Б.В.,ФИТ,ассистент,
Семенов Ж.Р.,ФМиЕН,доцент,д.н.
Сидоров Ж.Р.,ФИТ,ассистент,
Лебедева К.М.,ИТМО,доцент,
Егоров А.А.,ФМиМ,ассистент,д.н.
Козлов В.И.,ФРТ,профессор,к.н.
Петров Д.С.,ФПМИ,доцент,д.н.
Попов М.Ю.,ФПМИ,доцент,
Попов В.И.,ИТМО,ассистент,д.н.
Попов И.К.,ФПМИ,доцент,
Петров К.М.,ФЭТ,профессор,д.н.
Соколов И.К.,ФПМИ,ассистент,
Лебедев К.М.,ФМиЕН,доцент,к.н.
Егоров З.Т.,ФИТ,доцент,д.н.
Семенов Б.В.,ФУПМ,профессор,д.н.
Лебедева М.Ю.,ФФ,ассистент,
Семенов М.Ю.,ФМиМ,профессор,к.н.
Морозов Л.О.,ФИВТ,,д.н.
Лебедева И.К.,ФЭТ,ассистент,к.н.
Козлов Г.Н.,ФМиЕН,ассистент,
Соколов Л.О.,ФЭТ,профессор,д.н.
Лебедева З.Т.,ФЭТ,доцент,
Кузнецов В.И.,ФМиМ,ассистент,д.н.
Семенов Е.П.,ИТМО,ассистент,д.н.
Егоров Л.О.,ФИВТ,доцент,
Семенов Е.П.,ФУПМ,профессор,
Лебедева Ж.Р.,ФРТ,,
Попов В.И.,ФУПМ,доцент,к.н.
Семенов Д.С.,ИТМО,профессор,к.н.
Лебедева Г.Н.,ФИТ,доцент,
Егоров Л.О.,ФМиЕН,,
Петров М.Ю.,ФИТ,,д.н.
Волков А.А.,ФФ,профессор,к.н.
Волков Ж.Р.,ФИТ,,
Алексеев З.Т.,ФПМИ,профессор,
Лебедева Г.Н.,ФМиМ,доцент,к.н.
Сидоров Б.В.,ФФ,профессор,д.н.
Новиков Д.С.,ФЭТ,ассистент,
Козлов И.К.,ФМиМ,,
Соколов К.М.,ФМиМ,профессор,д.н.
Соколов В.И.,ФМиМ,профессор,к.н.
Семенов М.Ю.,ФМиЕН,,к.н.
Лебедева А.А.,ИТМО,,
Петров Г.Н.,ФЭТ,,к.н.
Петров Д.С.,ФУПМ,профессор,к.н.
Смирнов Д.С.,ФМиМ,доцент,
Алексеев З.Т.,ФПМИ,доцент,к.н.
Смирнов К.М.,ФРТ,профессор,д.н.
Семенов Д.С.,ФИТ,ассистент,д.н.
Козлов Д.С.,ФМиЕН,ассистент,д.н.
Соколов В.И.,ФМиЕН,профессор,
Попов Д.С.,ФЭТ,доцент,д.н.
Иванов Д.С.,ФПМИ,профессор,д.н.
Смирнов И.К.,ФМиМ,профессор,
Иванов Б.В.,ФМиМ,,
Иванов З.Т.,ИТМО,профессор,к.н.
Кузнецов Г.Н.,ФРТ,ассистент,к.н.
Семенов Г.Н.,ФУПМ,,к.н.
Семенов В.И.,ФМиЕН,профессор,д.н.
Попов А.А.,ФМиМ,ассистент,
Семенов Е.П.,ФМиМ,ассистент,к.н.
Семенов Ж.Р.,ФПМИ,,к.н.
Алексеев А.А.,ИТМО,профессор,
Волков И.К.,ФРТ,профессор,к.н.
Алексеев И.К.,ФИВТ,,
Соколов Д.С.,ИТМО,,
Лебедева Е.П.,ИТМО,доцент,к.н.
Морозов Е.П.,ФУПМ,,д.н.
Иванов Е.П.,ФПМИ,,
Смирнов Д.С.,ФПМИ,доцент,д.н.
Попов Е.П.,ИТМО,профессор,к.н.
Соколов Г.Н.,ФИТ,,
Кузнецов Е.П.,ФФ,ассистент,д.н.
Алексеев Л.О.,ФИВТ,профессор,к.н.
Лебедева З.Т.,ИТМО,,д.н.
Кузнецов И.К.,ФМиЕН,доцент,к.н.
Лебедева Д.С.,ФМиМ,доцент,к.н.
Лебедева Д.С.,ФУПМ,профессор,
Волков Г.Н.,ФЭТ,доцент,
Егоров Л.О.,ФФ,профессор,д.н.
Волков Г.Н.,ФМиМ,профессор,
Лебедев В.И.,ФПМИ,профессор,к.н.
