fio,faculty,title,degree
Соколов Е.П.,ФИТ,ассистент,к.н.
Сидоров М.Ю.,ИТМО,,д.н.
Сидоров М.Ю.,ФРТ,доцент,к.н.
Лебедев М.Ю.,ФРТ,,
Сидоров Д.С.,ФМиМ,ассистент,
Лебедев Ж.Р.,ФПМИ,ассистент,д.н.
Козлов И.К.,ФФ,,к.н.
Смирнов Е.П.,ФИТ,,д.н.
Лебедева З.Т.,ФФ,ассистент,д.н.
Новиков И.К.,ФЭТ,доцент,
Петров Д.С.,ФРТ,профессор,
Лебедев А.А.,ФЭТ,доцент,д.н.
Петров М.Ю.,ФМиЕН,ассистент,к.н.
Егоров В.И.,ФМиЕН,доцент,
Сидоров И.К.,ФРТ,,д.н.
Козлов Б.В.,ФУПМ,,к.н.
Смирнов Д.С.,ИТМО,доцент,к.н.
Сидоров К.М.,ФМиМ,профессор,д.н.
Сидоров А.А.,ФМиМ,,к.н.
Иванов Д.С.,ФЭТ,,д.н.
Петров М.Ю.,ФМиЕН,,
Алексеев К.М.,ФФ,профессор,д.н.
Попов Д.С.,ФРТ,профессор,д.н.
Попов Д.С.,ФИТ,профессор,
Лебедев Ж.Р.,ФИВТ,ассистент,
Новиков И.К.,ФПМИ,ассистент,д.н.
Лебедев Б.В.,ФИВТ,доцент,к.н.
Алексеев З.Т.,ФМиЕН,доцент,
Кузнецов Ж.Р.,ФИВТ,доцент,
Сидоров М.Ю.,ФРТ,доцент,
Лебедева Д.С.,ФИТ,ассистент,д.н.
Волков Ж.Р.,ФИВТ,,д.н.
Смирнов Ж.Р.,ФИТ,ассистент,д.н.
Сидоров В.И.,ФИВТ,профессор,
Егоров Г.Н.,ФИТ,ассистент,д.н.
Сидоров Ж.Р.,ФРТ,,к.н.
Новиков З.Т.,ФИТ,профессор,к.н.
Алексеев К.М.,ИТМО,профессор,к.н.
Алексеев Г.Н.,ФУПМ,доцент,к.н.
Кузнецов М.Ю.,ФМиМ,доцент,
Новиков Ж.Р.,ФПМИ,профессор,к.н.
Егоров В.И.,ФРТ,,д.н.
Новиков М.Ю.,ФФ,ассистент,д.н.
Егоров Ж.Р.,ФМиМ,,
Семенов Ж.Р.,ФПМИ,,
Алексеев М.Ю.,ИТМО,,к.н.
Соколов А.А.,ФРТ,ассистент,к.н.
Кузнецов З.Т.,ФМиМ,ассистент,
Соколов Г.Н.,ФМиЕН,профессор,к.н.
Егоров Е.П.,ФЭТ,профессор,к.н.
Козлов М.Ю.,ФПМИ,ассистент,к.н.
Семенов К.М.,ФМиМ,доцент,д.н.
Петров Б.В.,ФРТ,доцент,к.н.
Иванов А.А.,ФУПМ,доцент,к.н.
Козлов Ж.Р.,ИТМО,ассистент,
Козлов И.К.,ФПМИ,профессор,к.н.
Смирнов И.К.,ФМиМ,доцент,д.н.
Козлов И.К.,ФПМИ,профессор,д.н.
Козлов К.М.,ФИТ,профессор,д.н.
Сидоров А.А.,ФМиЕН,,
Козлов В.И.,ФРТ,профессор,
Морозов Л.О.,ФРТ,,д.н.
Лебедева З.Т.,ФМиЕН,,д.н.
Новиков Е.П.,ФУПМ,доцент,
Егоров Ж.Р.,ФИТ,доцент,
Смирнов М.Ю.,ФЭТ,доцент,
Смирнов И.К.,ФИТ,доцент,к.н.
Попов Д.С.,ФРТ,,д.н.
Соколов А.А.,ФПМИ,ассистент,
Морозов К.М.,ИТМО,доцент,к.н.
Кузнецов Е.П.,ФМиМ,профессор,
Новиков К.М.,ФМиЕН,ассистент,к.н.
Петров Л.О.,ФПМИ,ассистент,д.н.
Новиков И.К.,ФМиМ,доцент,
Морозов Е.П.,ФИТ,профессор,д.н.
Сидоров З.Т.,ФИВТ,,
Смирнов И.К.,ФПМИ,ассистент,д.н.
Попов И.К.,ФРТ,,
Лебедев К.М.,ИТМО,,
Новиков Д.С.,ФПМИ,ассистент,к.н.
Семенов М.Ю.,ФМиМ,,к.н.
Иванов Ж.Р.,ФУПМ,,к.н.
Петров Е.П.,ФИВТ,ассистент,д.н.
Иванов К.М.,ФУПМ,профессор,д.н.
Петров М.Ю.,ФМиМ,ассистент,к.н.
Сидоров Ж.Р.,ФПМИ,ассистент,
Сидоров Г.Н.,ФРТ,,к.н.
Смирнов З.Т.,ФУПМ,,к.н.
Алексеев Л.О.,ФФ,ассистент,д.н.
Новиков И.К.,ФФ,ассистент,к.н.
Лебедев К.М.,ФФ,ассистент,д.н.
Алексеев Л.О.,ФУПМ,ассистент,к.н.
Иванов Ж.Р.,ФУПМ,доцент,
Смирнов З.Т.,ФИВТ,доцент,
Волков Л.О.,ИТМО,доцент,д.н.
Кузнецов Д.С.,ФПМИ,доцент,к.н.
Иванов Ж.Р.,ФПМИ,профессор,
Егоров Е.П.,ИТМО,ассистент,
Соколов Г.Н.,ФЭТ,,
Смирнов Б.В.,ФИВТ,доцент,д.н.
