fio,faculty,title,degree
Козлов Б.В.,ФРТ,ассистент,
Морозов Б.В.,ИТМО,доцент,
Смирнов В.И.,ИТМО,,к.н.
Соколов Д.С.,ФУПМ,ассистент,
Егоров А.А.,ФИТ,,
Петров В.И.,ФИТ,профессор,д.н.
Волков Ж.Р.,ИТМО,ассистент,
Сидоров А.А.,ФФ,,
Волков А.А.,ФУПМ,,д.н.
Петров Д.С.,ФИВТ,,к.н.
Смирнов З.Т.,ФМиМ,профессор,
Сидоров Л.О.,ФФ,доцент,
Волков Д.С.,ФИТ,профессор,к.н.
Лебедев Д.С.,ФМиЕН,ассистент,к.н.
Алексеев В.И.,ФРТ,профессор,
Иванов И.К.,ФУПМ,ассистент,к.н.
Новиков И.К.,ФПМИ,ассистент,д.н.
Лебедев И.К.,ФУПМ,доцент,к.н.
Лебедев Д.С.,ФФ,,
Морозов Д.С.,ФУПМ,доцент,д.н.
Алексеев Л.О.,ФРТ,ассистент,к.н.
Сидоров Б.В.,ИТМО,ассистент,д.н.
Сидоров Б.В.,ФИТ,ассистент,
Алексеев М.Ю.,ФИВТ,ассистент,к.н.
Козлов Д.С.,ФФ,ассистент,д.н.
Волков Е.П.,ИТМО,,к.н.
Петров А.А.,ФРТ,профессор,д.н.
Волков З.Т.,ФРТ,доцент,д.н.
Лебедева К.М.,ФРТ,,д.н.
Морозов Е.П.,ФФ,,
Семенов Г.Н.,ФРТ,ассистент,
Алексеев Л.О.,ФРТ,ассистент,к.н.
Сидоров А.А.,ФИВТ,ассистент,к.н.
Соколов И.К.,ИТМО,,д.н.
Сидоров З.Т.,ФФ,профессор,
Смирнов Л.О.,ФМиМ,профессор,к.н.
Лебедев М.Ю.,ФИТ,,д.н.
Козлов В.И.,ФПМИ,профессор,к.н.
Егоров Д.С.,ФИТ,,к.н.
Сидоров Л.О.,ФМиЕН,ассистент,к.н.
Иванов М.Ю.,ФУПМ,ассистент,
Козлов А.А.,ФИВТ,ассистент,к.н.
Морозов Г.Н.,ФУПМ,ассистент,
Сидоров А.А.,ФЭТ,ассистент,
Лебедев Д.С.,ФИВТ,,
Лебедев К.М.,ФФ,,к.н.
Алексеев Е.П.,ФУПМ,профессор,к.н.
Егоров З.Т.,ФРТ,доцент,
Петров Л.О.,ФФ,доцент,д.н.
Иванов З.Т.,ИТМО,профессор,д.н.
Смирнов Ж.Р.,ИТМО,,д.н.
Смирнов З.Т.,ФПМИ,профессор,д.н.
Лебедева Ж.Р.,ФМиЕН,профессор,к.н.
Семенов М.Ю.,ФМиМ,доцент,
Соколов Б.В.,ИТМО,профессор,д.н.
Морозов Б.В.,ФРТ,профессор,д.н.
Смирнов Д.С.,ФЭТ,профессор,
Морозов Г.Н.,ФИТ,профессор,к.н.
Попов З.Т.,ФФ,профессор,к.н.
Козлов Л.О.,ФИТ,доцент,д.н.
Петров З.Т.,ФПМИ,,д.н.
Петров Ж.Р.,ФМиЕН,,
Сидоров Д.С.,ФМиМ,доцент,
Новиков Л.О.,ФУПМ,доцент,к.н.
Попов Е.П.,ФРТ,ассистент,д.н.
Петров К.М.,ФЭТ,профессор,к.н.
Волков Е.П.,ФРТ,,к.н.
Петров Е.П.,ФЭТ,ассистент,д.н.
Козлов Б.В.,ФФ,,д.н.
Козлов В.И.,ФЭТ,профессор,
Алексеев А.А.,ИТМО,ассистент,д.н.
Соколов В.И.,ФМиМ,ассистент,к.н.
Лебедева Г.Н.,ФПМИ,,д.н.
Козлов К.М.,ФМиЕН,,к.н.
Петров Г.Н.,ФРТ,профессор,д.н.
Морозов Ж.Р.,ИТМО,ассистент,
Смирнов Е.П.,ФИТ,доцент,
Алексеев Д.С.,ФИТ,ассистент,к.н.
Петров А.А.,ИТМО,доцент,д.н.
Морозов В.И.,ФИТ,доцент,
Лебедева М.Ю.,ФМиЕН,профессор,
Кузнецов В.И.,ФМиМ,ассистент,
Сидоров И.К.,ФПМИ,ассистент,
Попов Г.Н.,ФФ,,д.н.
Попов Л.О.,ФИВТ,,д.н.
Смирнов Е.П.,ФФ,,
Семенов Ж.Р.,ФИТ,профессор,
Алексеев Е.П.,ФИТ,ассистент,
Волков З.Т.,ФМиЕН,профессор,к.н.
Попов Л.О.,ФМиМ,,
Волков Ж.Р.,ФРТ,,к.н.
Егоров В.И.,ФМиМ,ассистент,д.н.
Алексеев Д.С.,ФИВТ,ассистент,
Петров В.И.,ФЭТ,профессор,к.н.
Морозов Д.С.,ФЭТ,ассистент,д.н.
Кузнецов К.М.,ФИТ,ассистент,к.н.
Сидоров Ж.Р.,ФУПМ,,к.н.
Иванов Г.Н.,ФПМИ,профессор,
Алексеев Д.С.,ИТМО,ассистент,к.н.
Сидоров К.М.,ФПМИ,ассистент,к.н.
Морозов А.А.,ФМиЕН,доцент,д.н.
Егоров К.М.,ФМиМ,доцент,
Алексеев Г.Н.,ФРТ,профессор,к.н.
Смирнов В.И.,ФМиЕН,ассистент,к.н.
Лебедева Ж.Р.,ФФ,доцент,д.н.
Волков К.М.,ФРТ,ассистент,д.н.
Петров К.М.,ФИТ,профессор,д.н.
Соколов И.К.,ФМиЕН,,к.н.
Петров Г.Н.,ФМиЕН,доцент,д.н.
Новиков М.Ю.,ФМиЕН,,
Смирнов В.И.,ФМиЕН,доцент,д.н.
Лебедева М.Ю.,ФУПМ,ассистент,к.н.
Семенов В.И.,ФМиМ,профессор,д.н.
Морозов И.К.,ФУПМ,ассистент,к.н.
Попов М.Ю.,ФИТ,ассистент,к.н.
Попов В.И.,ФФ,,
Лебедева Д.С.,ФЭТ,доцент,к.н.
Иванов И.К.,ФПМИ,доцент,
Сидоров А.А.,ФИТ,доцент,
Егоров Ж.Р.,ФЭТ,,д.н.
Новиков Д.С.,ФМиЕН,ассистент,д.н.
Козлов И.К.,ФФ,,д.н.
Алексеев А.А.,ФРТ,ассистент,д.н.
Новиков А.А.,ФРТ,доцент,д.н.
Козлов М.Ю.,ФУПМ,профессор,д.н.
Смирнов И.К.,ФФ,доцент,к.н.
Петров В.И.,ФУПМ,профессор,д.н.
Сидоров Г.Н.,ФПМИ,,к.н.
Смирнов З.Т.,ФИТ,ассистент,д.н.
Кузнецов Г.Н.,ФУПМ,профессор,к.н.
Новиков В.И.,ФИВТ,доцент,д.н.
Семенов В.И.,ФМиЕН,ассистент,
Смирнов М.Ю.,ФИВТ,профессор,к.н.
Семенов И.К.,ФПМИ,,д.н.
Сидоров К.М.,ФИТ,профессор,д.н.
Петров А.А.,ИТМО,профессор,
Петров В.И.,ФЭТ,ассистент,
Морозов Л.О.,ИТМО,ассистент,
Иванов В.И.,ФМиЕН,,к.н.
Лебедева В.И.,ФМиМ,доцент,
Семенов Д.С.,ФФ,ассистент,
Иванов Г.Н.,ФРТ,доцент,
Козлов Г.Н.,ФУПМ,доцент,д.н.
Козлов К.М.,ФЭТ,ассистент,к.н.
Смирнов Л.О.,ФУПМ,доцент,
Попов М.Ю.,ФМиМ,профессор,к.н.
Козлов Г.Н.,ФФ,доцент,к.н.
