fio,faculty,title,degree
Лебедев Б.В.,ИТМО,,к.н.
Сидоров А.А.,ФИВТ,ассистент,
Волков З.Т.,ФЭТ,ассистент,д.н.
Смирнов Е.П.,ФПМИ,доцент,д.н.
Иванов Б.В.,ИТМО,профессор,д.н.
Волков В.И.,ФИВТ,доцент,д.н.
Петров М.Ю.,ФМиЕН,,
Алексеев Д.С.,ФПМИ,профессор,
Егоров Ж.Р.,ИТМО,ассистент,к.н.
Попов З.Т.,ФИТ,доцент,д.н.
Смирнов Ж.Р.,ФИВТ,профессор,д.н.
Волков М.Ю.,ФЭТ,,
Лебедев З.Т.,ФПМИ,,
Иванов К.М.,ФИВТ,,
Иванов И.К.,ФМиЕН,доцент,
Семенов Е.П.,ФФ,,д.н.
Семенов Ж.Р.,ФЭТ,ассистент,
Смирнов Г.Н.,ФФ,ассистент,д.н.
Кузнецов Е.П.,ФИВТ,профессор,к.н.
Лебедева З.Т.,ФРТ,,к.н.
Лебедев Д.С.,ИТМО,ассистент,д.н.
Егоров З.Т.,ФЭТ,,
Егоров И.К.,ФЭТ,ассистент,к.н.
Сидоров Д.С.,ФИВТ,профессор,к.н.
Егоров Ж.Р.,ФЭТ,доцент,
Лебедев Д.С.,ФУПМ,доцент,
Петров Е.П.,ФУПМ,,
Соколов Д.С.,ФМиМ,профессор,
Лебедев А.А.,ФРТ,профессор,
Кузнецов Ж.Р.,ФИВТ,профессор,
Семенов К.М.,ФМиЕН,,
Морозов Б.В.,ФУПМ,доцент,
Новиков К.М.,ФЭТ,профессор,к.н.
Иванов Г.Н.,ФУПМ,профессор,к.н.
Козлов А.А.,ФРТ,профессор,
Волков З.Т.,ИТМО,,к.н.
Попов Ж.Р.,ФИТ,ассистент,д.н.
Волков Г.Н.,ИТМО,,д.н.
Смирнов В.И.,ИТМО,ассистент,д.н.
Лебедева Е.П.,ФУПМ,доцент,к.н.
Морозов А.А.,ФМиМ,ассистент,к.н.
Сидоров Е.П.,ФМиМ,ассистент,к.н.
Егоров К.М.,ФМиМ,,
Алексеев Ж.Р.,ФФ,ассистент,к.н.
Сидоров В.И.,ФМиЕН,доцент,
Соколов Е.П.,ФМиЕН,профессор,
Лебедев Д.С.,ФРТ,доцент,д.н.
Лебедева Е.П.,ФЭТ,профессор,
Сидоров З.Т.,ФМиМ,доцент,
Сидоров Ж.Р.,ФИТ,профессор,
Попов З.Т.,ИТМО,ассистент,д.н.
Егоров Б.В.,ФМиЕН,доцент,
Сидоров Г.Н.,ФИТ,ассистент,д.н.
Смирнов А.А.,ФУПМ,профессор,д.н.
Морозов Ж.Р.,ФИВТ,профессор,д.н.
Петров Д.С.,ФИТ,ассистент,д.н.
Новиков Е.П.,ФМиМ,,к.н.
Смирнов К.М.,ФЭТ,доцент,к.н.
Новиков И.К.,ФФ,ассистент,
Лебедев Б.В.,ФФ,доцент,к.н.
Соколов А.А.,ФИТ,доцент,к.н.
Сидоров К.М.,ФЭТ,профессор,
Соколов Д.С.,ФИТ,профессор,к.н.
Попов И.К.,ФУПМ,доцент,
Семенов Д.С.,ФМиМ,профессор,
Егоров З.Т.,ФУПМ,доцент,
Егоров Г.Н.,ФМиМ,ассистент,
Сидоров В.И.,ФИВТ,доцент,д.н.
Попов Ж.Р.,ФМиЕН,ассистент,к.н.
Егоров И.К.,ФМиЕН,ассистент,
Смирнов М.Ю.,ФЭТ,доцент,к.н.
Семенов Л.О.,ФПМИ,ассистент,
Козлов И.К.,ФМиЕН,,к.н.
Лебедев З.Т.,ФРТ,доцент,
Попов А.А.,ФЭТ,профессор,
Морозов К.М.,ФПМИ,,д.н.
Попов И.К.,ФЭТ,,д.н.
Лебедев К.М.,ФФ,доцент,к.н.
Алексеев Е.П.,ФМиМ,ассистент,к.н.
Семенов Б.В.,ФПМИ,профессор,
Иванов М.Ю.,ФЭТ,ассистент,к.н.
Семенов К.М.,ФУПМ,доцент,к.н.
Козлов М.Ю.,ФРТ,профессор,
Попов Б.В.,ФМиЕН,ассистент,д.н.
Козлов И.К.,ФЭТ,ассистент,д.н.
Семенов В.И.,ФУПМ,,д.н.
Сидоров Д.С.,ФРТ,доцент,д.н.
Лебедева А.А.,ФФ,доцент,д.н.
Алексеев В.И.,ФМиЕН,,д.н.
Лебедева Г.Н.,ФФ,,
Иванов Ж.Р.,ФУПМ,ассистент,д.н.
Смирнов Ж.Р.,ФИВТ,ассистент,д.н.
Морозов Г.Н.,ФИВТ,профессор,д.н.
Волков М.Ю.,ФФ,доцент,к.н.
Егоров Б.В.,ФРТ,доцент,д.н.
Сидоров И.К.,ФИТ,доцент,д.н.
Новиков З.Т.,ФИВТ,ассистент,к.н.
Семенов Ж.Р.,ФИТ,ассистент,к.н.
Лебедев М.Ю.,ФПМИ,,
Смирнов В.И.,ФЭТ,доцент,к.н.
Лебедева З.Т.,ИТМО,,к.н.
Сидоров Ж.Р.,ФИТ,профессор,д.н.
Алексеев Д.С.,ФИВТ,ассистент,к.н.
Иванов К.М.,ФИВТ,,к.н.
Козлов Б.В.,ФРТ,доцент,
Смирнов З.Т.,ФИВТ,,
Иванов Г.Н.,ФЭТ,профессор,д.н.
Иванов М.Ю.,ИТМО,доцент,д.н.
Сидоров Е.П.,ФМиЕН,доцент,д.н.
Кузнецов Б.В.,ФУПМ,ассистент,д.н.
Волков Ж.Р.,ФРТ,ассистент,к.н.
